match,venue,date,time,team1,team1_score,team1_wickets,team1_overs,team2,team2_score,team2_wickets,team2_overs,winner,year
MATCH 1,"Wankhede Stadium, Mumbai","MAR, SAT 26",7:30 pm IST,CSK,131.0,5.0,20.0,KKR,133.0,4.0,18.3,CSK,2022
MATCH 57,"Wankhede Stadium, Mumbai","MAY, FRI 12",7:30 pm IST,MI,218.0,5.0,20.0,GT,191.0,8.0,20.0,MI,2023
MATCH 56,"Eden Gardens, Kolkata","MAY, THU 11",7:30 pm IST,KKR,149.0,8.0,20.0,RR,151.0,1.0,13.1,KKR,2023
MATCH 55,"MA Chidambaram Stadium, Chennai","MAY, WED 10",7:30 pm IST,CSK,167.0,8.0,20.0,DC,140.0,8.0,20.0,CSK,2023
MATCH 54,"Wankhede Stadium, Mumbai","MAY, TUE 9",7:30 pm IST,MI,200.0,4.0,16.3,RCB,199.0,6.0,20.0,MI,2023
MATCH 53,"Eden Gardens, Kolkata","MAY, MON 8",7:30 pm IST,KKR,182.0,5.0,20.0,PBKS,179.0,7.0,20.0,KKR,2023
MATCH 52,"Sawai Mansingh Stadium, Jaipur","MAY, SUN 7",7:30 pm IST,RR,214.0,2.0,20.0,SRH,217.0,6.0,20.0,RR,2023
MATCH 51,"Narendra Modi Stadium, Ahmedabad","MAY, SUN 7",3:30 pm IST,GT,227.0,2.0,20.0,LSG,171.0,7.0,20.0,GT,2023
MATCH 50,"Arun Jaitley Stadium, Delhi","MAY, SAT 6",7:30 pm IST,DC,187.0,3.0,16.4,RCB,181.0,4.0,20.0,DC,2023
MATCH 49,"MA Chidambaram Stadium, Chennai","MAY, SAT 6",3:30 pm IST,CSK,140.0,4.0,17.4,MI,139.0,8.0,20.0,CSK,2023
MATCH 48,"Sawai Mansingh Stadium, Jaipur","MAY, FRI 5",7:30 pm IST,RR,118.0,10.0,17.5,GT,119.0,1.0,13.5,RR,2023
MATCH 47,"Rajiv Gandhi International Stadium, Hyderabad","MAY, THU 4",7:30 pm IST,SRH,166.0,8.0,20.0,KKR,171.0,9.0,20.0,SRH,2023
MATCH 46,"Punjab Cricket Association IS Bindra Stadium, Mohali","MAY, WED 3",7:30 pm IST,PBKS,214.0,3.0,20.0,MI,216.0,4.0,18.5,PBKS,2023
MATCH 45,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","MAY, WED 3",3:30 pm IST,LSG,,,,CSK,,,,NR,2023
MATCH 44,"Narendra Modi Stadium, Ahmedabad","MAY, TUE 2",7:30 pm IST,GT,125.0,6.0,20.0,DC,130.0,8.0,20.0,GT,2023
MATCH 43,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","MAY, MON 1",7:30 pm IST,LSG,108.0,10.0,19.5,RCB,126.0,9.0,20.0,LSG,2023
MATCH 42,"Wankhede Stadium, Mumbai","APR, SUN 30",7:30 pm IST,MI,214.0,4.0,19.3,RR,212.0,7.0,20.0,MI,2023
MATCH 41,"MA Chidambaram Stadium, Chennai","APR, SUN 30",3:30 pm IST,CSK,200.0,4.0,20.0,PBKS,201.0,6.0,20.0,CSK,2023
MATCH 40,"Arun Jaitley Stadium, Delhi","APR, SAT 29",7:30 pm IST,DC,188.0,6.0,20.0,SRH,197.0,6.0,20.0,DC,2023
MATCH 39,"Eden Gardens, Kolkata","APR, SAT 29",3:30 pm IST,KKR,179.0,7.0,20.0,GT,180.0,3.0,17.5,KKR,2023
MATCH 38,"Punjab Cricket Association IS Bindra Stadium, Mohali","APR, FRI 28",7:30 pm IST,PBKS,201.0,10.0,19.5,LSG,257.0,5.0,20.0,PBKS,2023
MATCH 37,"Sawai Mansingh Stadium, Jaipur","APR, THU 27",7:30 pm IST,RR,202.0,5.0,20.0,CSK,170.0,6.0,20.0,RR,2023
MATCH 36,"M Chinnaswamy Stadium, Bengaluru","APR, WED 26",7:30 pm IST,RCB,179.0,8.0,20.0,KKR,200.0,5.0,20.0,RCB,2023
MATCH 35,"Narendra Modi Stadium, Ahmedabad","APR, TUE 25",7:30 pm IST,GT,207.0,6.0,20.0,MI,152.0,9.0,20.0,GT,2023
MATCH 34,"Rajiv Gandhi International Stadium, Hyderabad","APR, MON 24",7:30 pm IST,SRH,137.0,6.0,20.0,DC,144.0,9.0,20.0,SRH,2023
MATCH 33,"Eden Gardens, Kolkata","APR, SUN 23",7:30 pm IST,KKR,186.0,8.0,20.0,CSK,235.0,4.0,20.0,KKR,2023
MATCH 32,"M Chinnaswamy Stadium, Bengaluru","APR, SUN 23",3:30 pm IST,RCB,189.0,9.0,20.0,RR,182.0,6.0,20.0,RCB,2023
MATCH 31,"Wankhede Stadium, Mumbai","APR, SAT 22",7:30 pm IST,MI,201.0,6.0,20.0,PBKS,214.0,8.0,20.0,MI,2023
MATCH 30,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","APR, SAT 22",3:30 pm IST,LSG,128.0,7.0,20.0,GT,135.0,6.0,20.0,LSG,2023
MATCH 29,"MA Chidambaram Stadium, Chennai","APR, FRI 21",7:30 pm IST,CSK,138.0,3.0,18.4,SRH,134.0,7.0,20.0,CSK,2023
MATCH 28,"Arun Jaitley Stadium, Delhi","APR, THU 20",7:30 pm IST,DC,128.0,6.0,19.2,KKR,127.0,10.0,20.0,DC,2023
MATCH 27,"Punjab Cricket Association IS Bindra Stadium, Mohali","APR, THU 20",3:30 pm IST,PBKS,150.0,10.0,18.2,RCB,174.0,4.0,20.0,PBKS,2023
MATCH 26,"Sawai Mansingh Stadium, Jaipur","APR, WED 19",7:30 pm IST,RR,144.0,6.0,20.0,LSG,154.0,7.0,20.0,RR,2023
MATCH 25,"Rajiv Gandhi International Stadium, Hyderabad","APR, TUE 18",7:30 pm IST,SRH,178.0,10.0,19.5,MI,192.0,5.0,20.0,SRH,2023
MATCH 24,"M Chinnaswamy Stadium, Bengaluru","APR, MON 17",7:30 pm IST,RCB,218.0,8.0,20.0,CSK,226.0,6.0,20.0,RCB,2023
MATCH 23,"Narendra Modi Stadium, Ahmedabad","APR, SUN 16",7:30 pm IST,GT,177.0,7.0,20.0,RR,179.0,7.0,19.2,GT,2023
MATCH 22,"Wankhede Stadium, Mumbai","APR, SUN 16",3:30 pm IST,MI,186.0,5.0,17.4,KKR,185.0,6.0,20.0,MI,2023
MATCH 21,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","APR, SAT 15",7:30 pm IST,LSG,159.0,8.0,20.0,PBKS,161.0,8.0,19.3,LSG,2023
MATCH 20,"M Chinnaswamy Stadium, Bengaluru","APR, SAT 15",3:30 pm IST,RCB,174.0,6.0,20.0,DC,151.0,9.0,20.0,RCB,2023
MATCH 19,"Eden Gardens, Kolkata","APR, FRI 14",7:30 pm IST,KKR,205.0,7.0,20.0,SRH,228.0,4.0,20.0,KKR,2023
MATCH 18,"Punjab Cricket Association IS Bindra Stadium, Mohali","APR, THU 13",7:30 pm IST,PBKS,153.0,8.0,20.0,GT,154.0,4.0,19.5,PBKS,2023
MATCH 17,"MA Chidambaram Stadium, Chennai","APR, WED 12",7:30 pm IST,CSK,172.0,6.0,20.0,RR,175.0,8.0,20.0,CSK,2023
MATCH 16,"Arun Jaitley Stadium, Delhi","APR, TUE 11",7:30 pm IST,DC,172.0,10.0,19.4,MI,173.0,4.0,20.0,DC,2023
MATCH 15,"M Chinnaswamy Stadium, Bengaluru","APR, MON 10",7:30 pm IST,RCB,212.0,2.0,20.0,LSG,213.0,9.0,20.0,RCB,2023
MATCH 14,"Rajiv Gandhi International Stadium, Hyderabad","APR, SUN 9",7:30 pm IST,SRH,145.0,2.0,17.1,PBKS,143.0,9.0,20.0,SRH,2023
MATCH 13,"Narendra Modi Stadium, Ahmedabad","APR, SUN 9",3:30 pm IST,GT,204.0,4.0,20.0,KKR,207.0,7.0,20.0,GT,2023
MATCH 12,"Wankhede Stadium, Mumbai","APR, SAT 8",7:30 pm IST,MI,157.0,8.0,20.0,CSK,159.0,3.0,18.1,MI,2023
MATCH 11,"Barsapara Cricket Stadium, Guwahati","APR, SAT 8",3:30 pm IST,RR,199.0,4.0,20.0,DC,142.0,9.0,20.0,RR,2023
MATCH 10,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","APR, FRI 7",7:30 pm IST,LSG,127.0,5.0,16.0,SRH,121.0,8.0,20.0,LSG,2023
MATCH 9,"Eden Gardens, Kolkata","APR, THU 6",7:30 pm IST,KKR,204.0,7.0,20.0,RCB,123.0,10.0,17.4,KKR,2023
MATCH 8,"Barsapara Cricket Stadium, Guwahati","APR, WED 5",7:30 pm IST,RR,192.0,7.0,20.0,PBKS,197.0,4.0,20.0,RR,2023
MATCH 7,"Arun Jaitley Stadium, Delhi","APR, TUE 4",7:30 pm IST,DC,162.0,8.0,20.0,GT,163.0,4.0,18.1,DC,2023
MATCH 6,"MA Chidambaram Stadium, Chennai","APR, MON 3",7:30 pm IST,CSK,217.0,7.0,20.0,LSG,205.0,7.0,20.0,CSK,2023
MATCH 5,"M Chinnaswamy Stadium, Bengaluru","APR, SUN 2",7:30 pm IST,RCB,172.0,2.0,16.2,MI,171.0,7.0,20.0,RCB,2023
MATCH 4,"Rajiv Gandhi International Stadium, Hyderabad","APR, SUN 2",3:30 pm IST,SRH,131.0,8.0,20.0,RR,203.0,5.0,20.0,SRH,2023
MATCH 3,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","APR, SAT 1",7:30 pm IST,LSG,193.0,6.0,20.0,DC,143.0,9.0,20.0,LSG,2023
MATCH 2,"Punjab Cricket Association IS Bindra Stadium, Mohali","APR, SAT 1",3:30 pm IST,PBKS,191.0,5.0,20.0,KKR,146.0,7.0,16.0,PBKS,2023
MATCH 1,"Narendra Modi Stadium, Ahmedabad","MAR, FRI 31",7:30 pm IST,GT,182.0,5.0,19.2,CSK,178.0,7.0,20.0,GT,2023
